ONSConstID,polls,date.1,con.1,lab.1,ld.1,snp.1,ukip.1,grn.1,oth.1,date_2,con.2,lab.2,ld.2,snp.2,ukip.2,grn.2,oth.2,date_3,con.3,lab.3,ld.3,snp.3,ukip.3,grn.3,oth.3,date_4,con.4,lab.4,ld.4,snp.4,ukip.4,grn.4,oth.4
E14000605,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E14000606,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E14000607,2,Jul-14,30,39,7,NA,18,4,2,May-14,30,44,10,NA,13,1,2,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
E14000608,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E14000609,1,Nov-14,11,38,23,NA,25,2,2,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
E14000610,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E14000611,1,Oct-14,32,41,5,NA,20,2,1,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
E14000612,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E14000613,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W07000076,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S14000009,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E14000614,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E14000615,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E14000616,2,Mar-15,37,24,13,NA,14,8,3,Jun-14,29,24,14,NA,26,5,2,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
E14000617,2,Mar-15,17,31,40,NA,3,9,0,Sep-14,19,33,32,NA,7,8,1,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
E14000842,1,Feb-15,46,17,7,NA,25,4,1,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
E14000855,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E14000934,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E14000937,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E14000618,2,Apr-15,32,38,5,NA,21,3,1,Oct-14,27,32,8,NA,30,2,1,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
E14000619,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W07000050,1,Sep-14,17,36,24,NA,9,5,9,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
W07000051,2,Jul-14,30,41,6,NA,12,3,8,May-14,33,40,10,NA,8,1,8,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
W07000080,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W07000079,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E14000620,1,Aug-14,30,41,5,NA,18,3,3,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
W07000067,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W07000066,1,Dec-14,33,29,4,NA,14,3,17,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
E14000621,1,Nov-14,23,12,43,NA,17,3,1,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
E14000622,2,Apr-15,41,12,2,NA,36,3,5,Feb-15,37,16,3,NA,36,2,6,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
W07000064,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E14000625,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E14000626,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E14000627,2,Sep-14,30,19,34,NA,13,2,3,Jun-14,29,21,32,NA,15,2,1,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
E14000628,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
